"treatment","average_body_weight","length_cm","volume_ml"
"With Treatment","24.222279712479963","11.421743772218669","53.82821500384163"
"With Treatment","32.37402245665792","11.352611947202297","94.30695783574848"
"With Treatment","22.96017797057512","11.881336180023151","66.65140277415938"
"With Treatment","23.41652714897521","8.527429406518426","66.1532222110424"
"With Treatment","21.59054746328608","12.043338952302326","65.73462404178997"
"With Treatment","11.446758315855272","11.529908144581864","68.17893236844641"
"With Treatment","21.85417368502931","13.530866330247658","64.41203546883663"
"With Treatment","22.33126615467565","13.951863146709751","59.6897179243174"
"With Treatment","35.54783161866908","17.32757584627495","59.98455164635569"
"With Treatment","20.94201469370383","15.29093244400931","65.63971402762402"
"With Treatment","23.65851038283487","11.930811957542714","60.0223275175286"
"With Treatment","21.809085266621164","11.223487723033614","58.1586963905512"
"With Treatment","15.572270793092574","14.282222177314315","67.17073250461087"
"With Treatment","28.28552547983261","10.295486944554588","63.19525060837059"
"With Treatment","26.135631679777266","17.22920928487958","82.54392287440959"
"With Treatment","26.35067570873676","15.794768265586832","36.83933210767688"
"With Treatment","16.998368998628937","12.167813565369652","78.0065753711471"
"With Treatment","29.715368710148542","9.43110403600007","79.70693711747393"
"With Treatment","14.289819154642457","16.17851922316391","43.19270744351036"
"With Treatment","25.22771401590149","12.948012340444242","62.23043646511617"
"With Treatment","34.04750594195489","15.923195886341617","61.9141504740463"
"With Treatment","16.552050211781214","9.692259150652394","50.517371358103965"
"With Treatment","18.88536248718476","11.8813749495017","57.44401643650038"
"With Treatment","22.548082507982027","13.211536139380003","53.78366569987589"
"With Treatment","19.230883902360908","13.303357306282432","85.27497487765986"
"With Treatment","13.471351129136272","12.209855962745666","76.29246232462208"
"With Treatment","22.37709636143315","14.5702698511645","79.98710604493576"
"With Treatment","16.157329574506424","10.851235055358291","73.9383927044756"
"With Treatment","24.604758368493503","12.886765132953157","53.58043051661048"
"With Treatment","16.943166711714085","13.46465038976618","60.23027707092249"
"With Treatment","30.52463922759647","14.331765434929247","71.3831201735071"
"With Treatment","17.692106892150697","14.76555273179556","52.556594102188605"
"With Treatment","20.228661660868784","10.725787397956688","73.84298273189627"
"With Treatment","26.474344695533183","9.824948824381632","63.35642062026052"
"With Treatment","15.23024625961325","16.010889008176722","61.87697111695444"
"With Treatment","23.25102964032272","13.931090826355105","73.82055965023841"
"With Treatment","29.18928514855336","11.553329619575583","70.88689642634644"
"With Treatment","13.15884220991325","16.612534346149552","62.029372175990126"
"With Treatment","23.01548622192768","13.454484195444287","78.75262783700674"
"With Treatment","23.42935536836633","15.79445380494042","54.10830339640113"
"With Treatment","26.30002579477521","13.34854065910224","72.77529167638691"
"With Treatment","15.19677109017055","17.733645434740374","72.52411383765222"
"With Treatment","14.73748862803648","17.06174985337505","62.59498916754611"
"With Treatment","24.87067861089293","12.65227887334604","69.5874632446633"
"With Treatment","23.633415702782525","15.337456092099584","52.23775065976167"
"With Treatment","23.37771067690232","14.619827089087329","76.16429721127591"
"With Treatment","23.905465152233365","16.210989426571167","63.96607649912713"
"With Treatment","18.2598640313183","11.077168386723772","60.25004677429057"
"With Treatment","23.27739533438552","14.709313211996568","77.53910148420579"
"With Treatment","23.61189860314275","15.528533871069094","58.25221940402965"
"With Treatment","18.071067200854976","9.330773129869147","50.50692574000085"
"With Treatment","32.261759811296166","10.596831272135296","48.87707909123706"
"With Treatment","24.60608106501484","8.713689208927779","72.66610946480203"
"With Treatment","15.447830765385431","12.607304964221974","51.91527712254089"
"With Treatment","25.611044847486067","14.778592962751118","85.30273600182801"
"With Treatment","16.639250813749733","16.505185514611263","43.09877651327906"
"With Treatment","26.32896532058349","13.363008516923507","84.66102005119042"
"With Treatment","28.372275684540725","16.782954200256842","68.32119213922881"
"With Treatment","17.486247249065592","10.16377679192724","64.93615576942568"
"With Treatment","27.29856871084377","9.45255863341866","60.00589004510156"
"With Treatment","24.27029509815074","13.07779506242744","70.39049725787278"
"With Treatment","26.521330879969696","14.044943987666478","65.58601827332667"
"With Treatment","32.43236140459671","13.128071554192998","78.13632070218173"
"With Treatment","20.65036536198421","8.651627379912272","67.25650413528244"
"With Treatment","17.85445109603381","13.003935913071867","67.65331937608066"
"With Treatment","17.107670637059623","10.330167098889325","62.00026566564759"
"With Treatment","17.51304343269009","14.673279607426084","65.37359813906826"
"With Treatment","21.575940598222427","14.006516141413067","69.38581945781266"
"With Treatment","23.876335861491544","11.132264470079818","47.18814768077713"
"With Treatment","23.52179939631511","12.069492781859276","51.16996035683716"
"With Treatment","26.54950786969813","10.869730251844308","74.17590503424987"
"With Treatment","22.071510405328493","13.062105985999024","67.87951981940736"
"With Treatment","29.994437424365245","15.301313105102723","63.97618330012053"
"With Treatment","20.54438741719125","11.031402698061804","66.20277326371934"
"With Treatment","36.96093041624291","14.308902334139258","69.82339875897839"
"With Treatment","25.44117041270753","12.033433239580631","60.06264351659703"
"With Treatment","17.285633439710445","11.455679769022844","57.43864802057457"
"With Treatment","16.110091260663882","12.964533208099974","68.1542978060745"
"With Treatment","24.65359828383752","10.922466890677375","55.23789944623465"
"With Treatment","20.77095468070782","11.9819715282362","70.49078031285919"
"With Treatment","25.927002717506507","10.564668636304535","47.27158035338376"
"With Treatment","24.6028069351545","17.522395292416057","77.32071201058208"
"With Treatment","21.599440980387204","13.277579814337804","71.19857230654348"
"With Treatment","17.342634550623774","11.660603882416313","68.81632707745264"
"With Treatment","13.668340264227746","13.67075580361529","76.80960082340066"
"With Treatment","19.544167763631386","12.952878290680175","84.32021888908835"
"With Treatment","26.71019336877909","12.71386688102691","77.15807071519944"
"With Treatment","23.177515592716126","14.551166740095535","45.75038345535191"
"With Treatment","15.148436717084069","14.866516962104072","51.92465336590729"
"With Treatment","22.9524950921815","12.03289747525684","59.126995645347534"
"With Treatment","24.119245588508605","11.933199870581705","66.28700155231918"
"With Treatment","17.13878410089377","12.594886266266384","71.69424922516035"
"With Treatment","22.84548808270041","8.135773437581713","58.01681805531188"
"With Treatment","22.320147951453","9.866579663163186","68.05443440924786"
"With Treatment","15.713663361931577","16.207123388377955","57.69078774411346"
"With Treatment","23.967830481915563","16.818928969702828","59.273304167088575"
"With Treatment","25.08431489502529","12.65212071297597","50.52672793466956"
"With Treatment","27.956781837464025","14.468425318722687","55.84443429278007"
"With Treatment","27.79591128619197","13.88475033999578","51.131469338220334"
"With Treatment","14.422818476236","19.973537778601525","55.265394217249344"
"With Treatment","16.841962280466827","15.66306480515607","77.59005976268625"
"With Treatment","24.832693969647632","12.918581298742314","55.55661222284864"
"With Treatment","24.82582273001715","11.097811030679065","94.95620271321133"
"With Treatment","24.832762274683265","9.66581809543334","71.42649690968979"
"With Treatment","43.190023198600976","13.647619998907892","68.03319736064363"
"With Treatment","25.139897808812417","11.536028360374534","56.55806441800666"
"With Treatment","28.24561102099329","10.071041838885115","73.7034086734989"
"With Treatment","27.24700969921262","11.777539654666445","59.667983911384496"
"With Treatment","25.58265188218189","10.820594392048331","67.34210796109899"
"With Treatment","20.2660191544781","16.911711597159645","94.16092992095676"
"With Treatment","26.174330712712973","15.139607465288792","64.94334110302886"
"With Treatment","17.749461320043356","13.182460189103445","78.64200658914244"
"With Treatment","20.69749766292995","16.45587710555806","58.26505932361524"
"With Treatment","19.330500486939933","13.370210276824762","65.61512660453343"
"With Treatment","22.45030776662478","11.30517475707782","85.47880699199061"
"With Treatment","34.730622116704296","16.550872969993247","59.10336236433456"
"With Treatment","11.730041440745389","14.38560209610625","85.93693413796622"
"With Treatment","25.774431047059828","10.918058460481795","73.78527129001023"
"With Treatment","13.130062708456917","12.781254908216065","59.81286546516306"
"With Treatment","19.40437473815812","11.273639842553536","72.95648512961073"
"With Treatment","27.98922828332052","10.15784059187846","76.69809894589405"
"With Treatment","22.35354010502505","15.237590604569611","72.83990958438916"
"With Treatment","16.072403721388817","17.400716609034287","48.72752808120498"
"With Treatment","18.065829599070177","10.12315133759789","58.00149106592645"
"With Treatment","25.73778761914072","14.438532320719258","63.27729500893345"
"With Treatment","17.982983525555753","11.768586347931985","65.18123227989949"
"With Treatment","23.19052224270086","12.128324155717667","72.82739307305746"
"With Treatment","22.250645119470978","11.89673336667449","67.9547110102658"
"With Treatment","18.41619808816801","11.299220306704406","51.31121205418889"
"With Treatment","33.7916924912893","13.30674758147862","70.1821763610656"
"With Treatment","25.486554622749065","11.371909743895715","72.71644319812206"
"With Treatment","10.861715773383162","13.795005016715644","72.15769492724145"
"With Treatment","23.025498731231856","13.0894761592119","77.88858798110086"
"With Treatment","18.360174443773868","12.6743142968939","75.17314370003795"
"With Treatment","26.68838334137924","11.203359943508485","71.05098087151282"
"With Treatment","17.641135938620145","11.93110307274967","65.22817717395489"
"With Treatment","21.368949571932056","14.861860696816665","47.729429731324096"
"With Treatment","24.77743003439252","14.30201781277364","70.72580041045845"
"With Treatment","26.76165356793567","11.049378461443188","68.28456455879423"
"With Treatment","15.398369761193232","13.418531071944296","68.98736720914911"
"With Treatment","20.160243202874785","14.853051671417935","51.9557656659766"
"With Treatment","19.387800788614744","9.527308381532984","54.10837805550912"
"With Treatment","18.406689220844584","14.395392423235858","77.58468138666194"
"With Treatment","31.709998321546035","11.742227730319138","65.5648933075768"
"With Treatment","24.22739941028526","14.45531707090495","73.49650767109887"
"With Treatment","15.065138251157252","11.520829855606465","66.31150213743508"
"With Treatment","27.04824070880127","9.22925937853806","66.3273175344532"
"With Treatment","33.67185908356949","9.619406636657043","76.32112186573598"
"With Treatment","27.678558933031308","13.305786882655042","60.32350798960889"
"With Treatment","13.643465187252929","13.771389503787262","67.05732854635082"
"With Treatment","19.33671259923561","11.210503424770302","60.91497182424454"
"With Treatment","28.968011320526426","14.604903409310223","61.22054149824453"
"With Treatment","18.107817939096705","9.54465586300829","62.59910664184497"
"With Treatment","24.44100685480426","13.054624442975904","68.44347148797085"
"With Treatment","26.260487293861352","10.535764360522595","60.73376516170176"
"With Treatment","16.901882406320546","11.76596056283525","79.81331738130874"
"With Treatment","21.672610541660102","13.304277076896112","56.159319675585465"
"With Treatment","4.1730296296201","11.307090596375303","63.94441191422505"
"With Treatment","16.36586797266141","12.353977802694384","61.16295835898408"
"With Treatment","20.61087516733762","15.41384418027177","81.91675672789107"
"With Treatment","15.137192499193327","11.930837887049076","68.16210254162732"
"With Treatment","30.978262171624","15.038522646543312","77.35028993415499"
"With Treatment","14.13422242121652","10.71464491975324","49.65883589659331"
"With Treatment","19.57975532316659","14.365569191413623","68.93755292456186"
"With Treatment","22.719073175073504","16.371450965447384","75.78593875185781"
"With Treatment","29.92700308986364","7.762382099719964","66.90512388202967"
"With Treatment","14.102758168513086","11.446830437964952","77.72028412571888"
"With Treatment","28.39740063685228","14.46955867979719","60.30982704889591"
"With Treatment","22.05628183560773","12.753300150705416","81.50282184204139"
"No Treatment","22.483570765056164","10.036982697904095","63.71145873371309"
"No Treatment","19.308678494144075","12.92420694852654","53.9601481328418"
"No Treatment","23.23844269050346","12.39811939114694","60.865897874729"
"No Treatment","27.61514928204013","10.79956624568241","58.44322764607921"
"No Treatment","18.82923312638332","12.139604169980036","71.67782061659807"
"No Treatment","18.8293152152541","11.22937280627648","62.54420843301213"
"No Treatment","27.896064077536955","12.227034690502496","63.37602662075202"
"No Treatment","23.837173645764544","13.324261349042091","55.881230338775325"
"No Treatment","17.65262807032524","15.172033632290704","55.123937759275066"
"No Treatment","22.712800217929825","9.5243690023463","55.67441812180379"
"No Treatment","17.682911535937688","16.266066749312532","63.944521423782966"
"No Treatment","17.671351232148716","8.095824400954996","55.79015519179737"
"No Treatment","21.20981135783017","11.696429809928834","62.89774856896413"
"No Treatment","10.43359877671101","13.176634412969154","80.75400798645438"
"No Treatment","11.375410837434837","12.561983735470063","68.71124703431693"
"No Treatment","17.188562353795135","10.754600960358813","56.73976467832159"
"No Treatment","14.93584439832788","11.58375549928545","72.01213922163944"
"No Treatment","21.571236662976368","11.013998130682335","55.91924626978449"
"No Treatment","15.459879622393943","10.821270486111576","39.61875464822146"
"No Treatment","12.938481493323543","13.69920419404205","49.91913689082596"
"No Treatment","27.32824384460777","12.714030971930097","41.29208078974145"
"No Treatment","18.871118497567323","10.614180809478691","56.48486515958692"
"No Treatment","20.33764102343962","13.7991997508665","60.18418379189552"
"No Treatment","12.876259068932717","12.614599041753218","76.76437312275283"
"No Treatment","17.278086377374088","13.62572423767792","63.269273737641626"
"No Treatment","20.55461294854933","13.259257683847224","57.80899471191136"
"No Treatment","14.245032112888486","10.342009978155856","68.2940558118349"
"No Treatment","21.87849009172836","10.87963791960606","37.88864690992115"
"No Treatment","16.996806550405974","13.494587210246523","62.356145581085656"
"No Treatment","18.54153125103361","13.22074053086693","67.70865193886966"
"No Treatment","16.991466938853016","11.958196812071703","45.214137542201584"
"No Treatment","29.261390922544688","12.234654766617563","71.43754043206928"
"No Treatment","19.93251387631033","14.555329791576847","63.38496407494414"
"No Treatment","14.711445355220498","10.81685722232834","55.84712086099199"
"No Treatment","24.112724560515943","13.094194762340075","66.32781866106285"
"No Treatment","13.895781750144888","11.595614695132213","82.70692857804396"
"No Treatment","21.044317975023777","11.56463759354556","61.81866255058495"
"No Treatment","10.201649380601122","14.19755370397438","62.48220586300336"
"No Treatment","13.359069755507846","13.65083269797606","55.40639100459756"
"No Treatment","20.984306179345616","13.627019272001275","51.50155630535208"
"No Treatment","23.692332899977053","14.610957614308658","68.30335816544246"
"No Treatment","20.85684140594985","12.04200768326552","51.43916174091133"
"No Treatment","19.4217585880588","13.363905942589929","60.715662372193925"
"No Treatment","18.494481522053555","11.379466486813088","55.223425532348834"
"No Treatment","12.607390048162864","12.648332704976884","64.78979825746391"
"No Treatment","16.400778958026457","11.73971389126463","63.33662105286948"
"No Treatment","17.696806145201062","12.193991929985437","70.375399442579"
"No Treatment","25.285611131094576","13.190314050873829","54.89983601145253"
"No Treatment","21.71809144784231","10.363558633533057","57.30125064706629"
"No Treatment","11.18479922318633","16.18477455137092","50.21236284217693"
"No Treatment","21.620419846973974","9.987965237000596","55.55706739923888"
"No Treatment","18.074588597918417","9.571622774424537","63.77300493044852"
"No Treatment","16.615389998470206","14.316221747000135","67.56988616645351"
"No Treatment","23.05838144420434","13.583325387925871","50.77834675822375"
"No Treatment","25.15499761247976","13.24823963410431","68.6960592010566"
"No Treatment","24.656400595581","13.25669101852856","73.55637858804951"
"No Treatment","15.803912383886807","11.97550645430617","64.13434903223701"
"No Treatment","18.453938120743928","10.205491257028337","78.76795812558066"
"No Treatment","21.65631715701782","12.151609116387451","52.26210800896427"
"No Treatment","24.8777256356118","10.645676576975776","47.55345296688583"
"No Treatment","17.60412881077355","13.950239466835502","42.212797510957216"
"No Treatment","19.07170511668092","11.705885236995725","74.96044311489183"
"No Treatment","14.46832512996986","10.349005606414975","66.54365656354058"
"No Treatment","14.018966879596649","11.357228316694012","59.44415329089545"
"No Treatment","24.062629111970992","12.82586290855125","62.79968626319821"
"No Treatment","26.781200142854114","10.87255089439205","48.74510952701623"
"No Treatment","19.63994939209833","10.355559208867136","84.45751979616827"
"No Treatment","25.01766448946012","12.487374422983825","61.29221181975228"
"No Treatment","21.80818012523817","12.489933142217446","61.09394794604893"
"No Treatment","16.77440122697438","10.98611364925774","67.25766623898691"
"No Treatment","21.80697802754207","11.057923388763356","64.81009231736714"
"No Treatment","27.69018283232985","12.464099874715272","62.23884024279131"
"No Treatment","19.820869804450243","9.103831317005351","52.09525544554688"
"No Treatment","27.82321827907003","9.185072451246889","64.71468357135996"
"No Treatment","6.901274479551278","10.563111557495128","78.82024496475034"
"No Treatment","24.10951252187612","11.573105696576306","73.45420046154977"
"No Treatment","20.435235341190857","12.621815131196009","75.93186626639397"
"No Treatment","18.504963247670663","14.950712433899104","54.88784323568815"
"No Treatment","20.45880388267751","13.71531924640404","50.10395179741419"
"No Treatment","10.062155426995536","11.680122940073144","58.74213079900352"
"No Treatment","18.90164056081244","11.961967584194625","60.557249122886944"
"No Treatment","21.78556285755873","9.994941270724382","70.94191518470949"
"No Treatment","27.38947022370758","11.96297372801522","43.07535370285181"
"No Treatment","17.40864890863176","11.422682722159724","75.29550319460614"
"No Treatment","15.95753198553406","12.64543712067618","58.4199210142101"
"No Treatment","17.491214782077318","10.345538112895357","55.7311893005258"
"No Treatment","24.57701058851037","13.038693028482344","49.87895624739832"
"No Treatment","21.643755548298422","15.065477826005155","43.451433281342304"
"No Treatment","17.351198981164806","11.782479703086285","68.23170583961914"
"No Treatment","22.56633716556678","12.803423444197882","60.73317967188404"
"No Treatment","20.4853877467402","13.380287983422225","47.10039100258946"
"No Treatment","24.84322495266445","11.197559056228329","47.04921227936384"
"No Treatment","16.489734530613237","12.448184963620834","56.64215300709872"
"No Treatment","18.36168926701116","12.02518480156359","76.69021525289392"
"No Treatment","18.03945923433921","12.195352197097664","57.40408648636395"
"No Treatment","12.682425259339407","10.453980432289066","44.96857046881894"
"No Treatment","21.48060138532288","12.049020348517884","57.54256935914056"
"No Treatment","21.305276360899448","12.9959965824909","57.27276430252329"
"No Treatment","20.025567283212304","14.902287215590084","33.03113357058429"
"No Treatment","18.827064333124262","13.918541652170411","59.45705133482188"
"No Treatment","12.92314628974793","16.306364915023114","57.69065469791322"
"No Treatment","17.896773386173205","10.4653048742239","66.96206364813418"
"No Treatment","18.286427417366152","13.744641273441356","78.48956094945345"
"No Treatment","15.988613653891903","12.366684011476703","71.26565029547757"
"No Treatment","19.19357144166996","16.379605866435345","57.31111309445169"
"No Treatment","22.02025428407269","10.383403429289697","48.934740912583294"
"No Treatment","29.43092950605265","10.320556315638449","85.7335980324986"
"No Treatment","20.8728890641592","10.801214709111957","60.59218434014488"
"No Treatment","21.28775195361382","7.752208551380386","60.13929291912946"
"No Treatment","19.627770421169163","10.948489956638475","59.75874912889997"
"No Treatment","10.406143923504793","10.481734676892604","61.98084760767855"
"No Treatment","19.867430622753915","12.300787572952416","58.556395880760576"
"No Treatment","20.301151049705133","12.68351195155432","54.26337993119763"
"No Treatment","32.316210562426434","15.752341678431772","54.53141058759608"
"No Treatment","19.038195176094387","13.9008476763721","59.672467297840015"
"No Treatment","21.507736711668063","10.846192688675194","54.56575228866235"
"No Treatment","19.826441151473784","10.203170657303284","52.87154217322836"
"No Treatment","14.15660981190234","12.983838343013012","61.064302276918966"
"No Treatment","25.714114072575104","9.359533585958715","57.45022782579144"
"No Treatment","23.75966516343388","15.662917531708707","75.0399298858269"
"No Treatment","23.95515973521524","14.358880241442574","33.49030191606988"
"No Treatment","15.453062726026303","11.061648695790591","70.91506851922462"
"No Treatment","27.01397155468049","8.573730941818244","72.4608519249763"
"No Treatment","12.990744686038596","14.707744748330825","39.2660976759185"
"No Treatment","22.934285469001352","11.770920309494764","56.57312405919652"
"No Treatment","30.95227812904989","14.475632623946924","56.28559134004209"
"No Treatment","15.047318374346558","8.811144682411266","45.92488305282178"
"No Treatment","17.16851135198614","10.801249954092455","52.22183312409125"
"No Treatment","20.498256825438204","12.010487399436366","48.894241545341714"
"No Treatment","17.482621729419005","12.093961187529484","77.52270443423623"
"No Treatment","12.246682844669335","11.099869057041513","69.35678393147461"
"No Treatment","20.342814874030136","13.245699864694998","72.71555094994159"
"No Treatment","14.688481431369476","9.864759141234812","67.21672064043236"
"No Treatment","22.36796215317591","11.715241029957411","48.70948228782771"
"No Treatment","15.402878828830984","12.2405912634238","54.75479733720226"
"No Treatment","27.749672025087698","13.0288776681175","64.89374561227918"
"No Treatment","16.083733538318814","13.42322975617778","47.77872191108055"
"No Treatment","18.38969241897162","9.75071581632426","67.12998430172388"
"No Treatment","24.067586086848348","8.931771658528756","57.59674601841865"
"No Treatment","13.845678417830223","14.555353643797018","56.251791924504026"
"No Treatment","21.13729967302065","12.664628023959184","67.10959968203491"
"No Treatment","26.53571377141214","10.503026926886893","64.4426331148604"
"No Treatment","11.962583827193862","15.102303951045046","56.3903383418092"
"No Treatment","20.92316929266152","12.231349268585715","71.59329803364248"
"No Treatment","21.29941397124212","14.358594368127653","49.18936672400103"
"No Treatment","23.90911435888655","12.135036962820218","66.15935606944264"
"No Treatment","13.81524644560959","16.121495849763974","65.93101257968384"
"No Treatment","13.397716934578618","15.510681684886409","56.904535606860094"
"No Treatment","22.60970782808449","11.502071703041851","63.26133022242118"
"No Treatment","21.48492336616593","13.94314190190871","47.488864236146966"
"No Treatment","21.252464251729386","13.290751899170296","69.240270192069"
"No Treatment","21.73224104748488","14.737263115064698","58.15097863557011"
"No Treatment","16.599876392107547","10.070153078839793","54.772769794809605"
"No Treatment","21.161268485805017","13.37210291999688","70.49009225836889"
"No Treatment","21.465362366493405","14.116848973699176","52.95656309457241"
"No Treatment","16.42824290986816","8.482521027153771","45.91538703636441"
"No Treatment","29.328872555723784","9.63348297466845","44.433708264760966"
"No Treatment","22.36916460455894","7.921535644479799","66.0600995134564"
"No Treatment","14.043482513986756","11.461186331110884","47.19570647503717"
"No Treatment","23.28276804316915","13.435084511591924","77.54794181984364"
"No Treatment","15.126591648863393","15.004714104192056","39.18070592116278"
"No Treatment","23.93542301871226","12.148189560839551","76.96456368290038"
